case,key_file,panel_pid,impact_element_id,impact_x,impact_y,impact_z,ball_center_x,ball_center_y,ball_center_z,velocity_vx,velocity_vy,velocity_vz,impact_speed,mass_ratio,impactor_mass,impactor_density,theta_deg,phi_deg,material_index,material_name,material_young_mpa,material_poisson,min_boundary_distance_mm,lhs_u_x,lhs_u_y,lhs_u_v,lhs_u_m,lhs_u_theta,lhs_u_phi,lhs_u_material
case029,cases_floorfrontR_lhs_500\case029\case029.key,2000395,3377184,-2018.39400000,-274.29082500,306.51362500,-2016.74509283,-271.77533839,289.27403590,-228.18963663,-348.11418533,2385.75927893,2421.79712885,0.93435711,0.0093435711,4.8633287318E-05,9.89664995,236.75506790,2,steel_rigid,210000.0,0.3000,148.76159733,0.6591495840,0.8261280687,0.1991129381,0.3687142101,0.6597766634,0.6576529664,0.8784920454
case030,cases_floorfrontR_lhs_500\case030\case030.key,2000395,3367975,-2475.82675000,-614.05917500,295.46342500,-2479.19435475,-615.95951569,278.39597225,967.93278323,546.20484998,4905.60747580,5029.93223788,1.10582916,0.0110582916,5.7558407971E-05,12.76538744,29.43605426,2,steel_rigid,210000.0,0.3000,80.49134581,0.2320037183,0.0073767975,0.9520170428,0.7116583274,0.8510258290,0.0817668174,0.7573031897
case031,cases_floorfrontR_lhs_500\case031\case031.key,2000395,3367229,-2648.51225000,-568.37897500,300.09227500,-2649.85918428,-568.37179868,282.64418867,160.47275425,-0.85498140,2078.75209908,2084.93705547,0.77172915,0.0077172915,4.0168502069E-05,4.41435135,359.69473720,1,titanium_rigid,110000.0,0.3400,84.54332634,0.0707518242,0.1174539187,0.1018697657,0.0434582928,0.2942900898,0.9991520478,0.5662696818
case032,cases_floorfrontR_lhs_500\case032\case032.key,2000395,2989019,-1879.46400000,-441.17035000,290.78575000,-1879.50788711,-440.48590141,273.29919505,7.73529105,-120.63699537,3082.08019844,3084.44994594,1.15014722,0.0115014722,5.9865162777E-05,2.24609237,273.66880516,2,steel_rigid,210000.0,0.3000,173.39425722,0.7888809491,0.4239928397,0.3904044184,0.8002944391,0.1497394914,0.7601911254,0.9362947360
case033,cases_floorfrontR_lhs_500\case033\case033.key,2000395,3372783,-1984.94525000,-239.01237500,310.80700000,-1988.75078762,-239.59007693,293.73555765,1071.24561767,162.62108666,4805.55170683,4926.18919635,1.06073750,0.0106073750,5.5211387109E-05,12.70613674,8.63191565,2,steel_rigid,210000.0,0.3000,114.50076341,0.6903836731,0.9111397414,0.9220689923,0.6214750090,0.8470757830,0.0239775435,0.8339010724
case034,cases_floorfrontR_lhs_500\case034\case034.key,2000395,3369520,-1950.58175000,-506.28002500,293.09005000,-1950.55709274,-506.00815421,275.59217932,-3.02480337,-33.35146650,2146.53306181,2146.79427407,1.05906258,0.0105906258,5.5124207379E-05,0.89380669,264.81775073,1,titanium_rigid,110000.0,0.3400,138.24830186,0.7224719460,0.2670958563,0.1197264150,0.6181251635,0.0595871127,0.7356048631,0.5615500767
case035,cases_floorfrontR_lhs_500\case035\case035.key,2000395,3365882,-2123.48100000,-403.17400000,299.05177500,-2123.49317869,-403.17059977,281.55177957,1.80459312,-0.50383294,2593.08492636,2593.08560324,0.84961902,0.0084961902,4.4222670173E-05,0.04139848,344.40054525,2,steel_rigid,210000.0,0.3000,278.90962013,0.5610204544,0.5155539279,0.2485596845,0.1992380470,0.0027598985,0.9566681812,0.8358235347
case036,cases_floorfrontR_lhs_500\case036\case036.key,2000395,3372895,-1867.75100000,-312.82890000,306.29030000,-1868.46042913,-311.73629082,288.83885549,123.57811332,-190.32567950,3039.93239093,3048.39045330,1.23004875,0.0123004875,6.4024037278E-05,4.26911882,302.99558958,2,steel_rigid,210000.0,0.3000,187.65143687,0.7998184246,0.7332615674,0.3799949347,0.9600974939,0.2846079216,0.8416544155,0.9466569164
case037,cases_floorfrontR_lhs_500\case037\case037.key,2000395,3368008,-2450.79000000,-607.00707500,294.27142500,-2451.09773366,-605.44170068,276.84429376,54.20759228,-275.74225149,3069.80659015,3082.64249521,0.84713119,0.0084713119,4.4093178233E-05,5.23046271,281.12183041,2,steel_rigid,210000.0,0.3000,87.47029495,0.2553827708,0.0243704811,0.3898826521,0.1942623721,0.3486975143,0.7808939734,0.9575762464
case038,cases_floorfrontR_lhs_500\case038\case038.key,2000395,3368174,-2160.94050000,-558.64112500,288.31675000,-2163.42897770,-558.91749584,270.99678759,600.57516444,66.70000047,4180.04118837,4223.49189116,0.81626018,0.0081626018,4.2486342392E-05,8.22570698,6.33731056,0,aluminum_rigid,70000.0,0.3300,135.30752912,0.5260411694,0.1409195448,0.7192176586,0.1325203609,0.5483804655,0.0176036404,0.2862279933
case039,cases_floorfrontR_lhs_500\case039\case039.key,2000395,3371056,-2598.23750000,-257.05340000,317.62150000,-2596.32840976,-260.90149869,300.65690419,-223.73244405,450.97109879,1988.13570949,2050.88145386,1.16354053,0.0116354053,6.0562284646E-05,14.20931053,116.38658893,2,steel_rigid,210000.0,0.3000,135.49703788,0.1176978542,0.8676656740,0.0920387558,0.8270810623,0.9472873689,0.3232960804,0.9934678397
case040,cases_floorfrontR_lhs_500\case040\case040.key,2000395,3371271,-2568.81225000,-220.57642500,316.50592500,-2570.54311987,-219.78046095,299.10993320,181.18690599,-83.32126240,1821.00687093,1831.89441608,0.90117003,0.0090117003,4.6905900139E-05,6.24982312,335.30402049,0,aluminum_rigid,70000.0,0.3300,97.40284328,0.1451748416,0.9555654729,0.0288226137,0.3023400630,0.4166548745,0.9314000569,0.0721173952
