case,impact_x,impact_y,impact_z,velocity_x,velocity_y,velocity_z,impact_speed,mass_ratio,impactor_mass,impactor_density,theta_deg,phi_deg,material_young_mpa,material_poisson,material_index,material_name
case001,-3896.531982421875,-104.26434326171875,495.4062805175781,-73.58867645263672,379.9566650390625,2482.023681640625,2512.015869140625,0.9300138354301453,0.009300137870013714,4.8407218855572864e-05,8.862654685974121,100.96113586425781,110000.0,0.3400000035762787,1,titanium_rigid
case002,-4065.555419921875,235.65065002441406,511.8289794921875,308.14642333984375,338.2621765136719,3600.698974609375,3629.65673828125,0.9665197730064392,0.009665197692811489,5.03073533764109e-05,7.242310047149658,47.667442321777344,70000.0,0.33000001311302185,0,aluminum_rigid
case003,-4002.35498046875,-397.8386535644531,629.9507446289062,-14.364598274230957,-7.419305801391602,3990.5087890625,3990.54150390625,0.8023204207420349,0.008023204281926155,4.176077709416859e-05,0.23213179409503937,207.3163299560547,210000.0,0.30000001192092896,2,steel_rigid
case004,-4077.923828125,-18.673095703125,492.4254150390625,-332.20587158203125,-37.1001091003418,3513.43115234375,3529.296630859375,1.058741807937622,0.01058741845190525,5.510751361725852e-05,5.434814453125,186.37228393554688,70000.0,0.33000001311302185,0,aluminum_rigid
case005,-4265.61962890625,144.7551727294922,516.9384155273438,-414.4775390625,-391.66571044921875,3075.234375,3127.660400390625,0.7833625674247742,0.007833625189960003,4.0774022636469454e-05,10.505341529846191,223.3791046142578,210000.0,0.30000001192092896,2,steel_rigid
case006,-4290.55029296875,264.62646484375,557.9864501953125,1072.7586669921875,-277.9145812988281,4895.0048828125,5018.87646484375,1.1738834381103516,0.011738833971321583,6.110063259257004e-05,12.756086349487305,345.4759521484375,110000.0,0.3400000035762787,1,titanium_rigid
case007,-3941.47802734375,-349.6348571777344,525.658935546875,308.89617919921875,45.290618896484375,2576.125,2594.9736328125,1.0171700716018677,0.010171701200306416,5.294370566844009e-05,6.909939289093018,8.341320991516113,210000.0,0.30000001192092896,2,steel_rigid
case008,-3739.91748046875,-343.5769958496094,630.1382446289062,-18.226991653442383,-1062.6790771484375,4435.5263671875,4561.0869140625,1.171004056930542,0.011710040271282196,6.095075877965428e-05,13.475078582763672,269.0173645019531,210000.0,0.30000001192092896,2,steel_rigid
case009,-3849.177734375,-263.4740905761719,508.395751953125,654.1281127929688,33.55195999145508,2584.97412109375,2666.66455078125,1.1766512393951416,0.01176651194691658,6.124469655333087e-05,14.218518257141113,2.9362785816192627,70000.0,0.33000001311302185,0,aluminum_rigid
case010,-3870.5986328125,283.07965087890625,509.5071716308594,104.0766372680664,-19.924381256103516,3249.7763671875,3251.503662109375,0.981879711151123,0.009818796999752522,5.1106839237036183e-05,1.8676025867462158,349.1624450683594,110000.0,0.3400000035762787,1,titanium_rigid
case011,-3805.171630859375,-254.55075073242188,508.0244140625,-16.19854164123535,-627.972900390625,2916.39501953125,2983.2822265625,1.243683934211731,0.012436839751899242,6.473375105997548e-05,12.15560245513916,268.52239990234375,210000.0,0.30000001192092896,2,steel_rigid
case012,-3886.6806640625,94.79559326171875,492.6376647949219,-217.12278747558594,418.2640686035156,2636.32666015625,2678.115966796875,0.868078887462616,0.008680788800120354,4.5183507609181106e-05,10.13496208190918,117.43402862548828,210000.0,0.30000001192092896,2,steel_rigid
case013,-4012.187255859375,240.077392578125,497.902587890625,92.03665161132812,256.9541015625,2536.9501953125,2551.590087890625,1.1690181493759155,0.011690180748701096,6.084739288780838e-05,6.140593528747559,70.29332733154297,70000.0,0.33000001311302185,0,aluminum_rigid
case014,-3762.9814453125,9.193787574768066,496.533935546875,-356.1598205566406,-325.7220458984375,2178.824951171875,2231.641357421875,1.1790659427642822,0.01179065927863121,6.137038144515827e-05,12.490213394165039,222.4441375732422,210000.0,0.30000001192092896,2,steel_rigid
case015,-4217.24169921875,-339.4040832519531,620.833984375,-185.15866088867188,526.2593383789062,2290.7685546875,2357.72216796875,0.7658461928367615,0.007658462040126324,3.986229421570897e-05,13.687087059020996,109.38387298583984,110000.0,0.3400000035762787,1,titanium_rigid
case016,-4116.2236328125,-84.35504150390625,501.2618103027344,-73.72631072998047,-162.91046142578125,2949.88623046875,2955.301025390625,0.8177282214164734,0.00817728228867054,4.256275133229792e-05,3.468919277191162,245.65052795410156,110000.0,0.3400000035762787,1,titanium_rigid
case017,-3731.6923828125,35.47283935546875,496.92462158203125,261.1552734375,207.36929321289062,2665.32421875,2686.1044921875,0.7668682932853699,0.007668683305382729,3.991549601778388e-05,7.131519794464111,38.45119094848633,110000.0,0.3400000035762787,1,titanium_rigid
case018,-3859.419677734375,387.5906982421875,632.216552734375,-498.4103088378906,332.51153564453125,2256.1796875,2334.37841796875,1.1255972385406494,0.011255973018705845,5.8587338571669534e-05,14.872099876403809,146.29100036621094,110000.0,0.3400000035762787,1,titanium_rigid
case019,-3703.9638671875,-368.9132995605469,626.401611328125,348.0250244140625,-34.423641204833984,2858.864013671875,2880.17529296875,0.951174795627594,0.009511747397482395,4.950864604325034e-05,6.974311351776123,354.3511657714844,70000.0,0.33000001311302185,0,aluminum_rigid
case020,-3785.53515625,-308.90484619140625,604.2123413085938,-437.6331787109375,-565.3898315429688,5086.22998046875,5136.236328125,0.846820592880249,0.0084682060405612,4.407700907904655e-05,8.001672744750977,232.25877380371094,70000.0,0.33000001311302185,0,aluminum_rigid
case021,-4038.632080078125,194.4554443359375,497.99517822265625,-59.04701232910156,251.9715576171875,3464.8857421875,3474.537109375,1.0413353443145752,0.010413353331387043,5.4201504099182785e-05,4.271578311920166,103.18870544433594,210000.0,0.30000001192092896,2,steel_rigid
case022,-4173.28271484375,-143.8104248046875,507.62481689453125,-199.28672790527344,154.06871032714844,2968.1748046875,2978.844482421875,1.0264670848846436,0.01026467140763998,5.342761141946539e-05,4.850848197937012,142.2923583984375,110000.0,0.3400000035762787,1,titanium_rigid
case023,-4089.88525390625,-241.1915740966797,517.781982421875,87.33721160888672,149.71585083007812,4735.42919921875,4738.60009765625,0.9736990332603455,0.009736990556120872,5.0681032007560134e-05,2.0962274074554443,59.742713928222656,210000.0,0.30000001192092896,2,steel_rigid
case024,-3782.500244140625,331.5234680175781,632.3655395507812,1157.51611328125,-134.83120727539062,5019.8447265625,5153.3349609375,1.0790934562683105,0.010790934786200523,5.616681664832868e-05,13.069549560546875,353.35595703125,70000.0,0.33000001311302185,0,aluminum_rigid
case025,-4037.25390625,-193.1217803955078,512.7984008789062,527.8922729492188,-186.31509399414062,2359.3662109375,2424.86962890625,1.2411110401153564,0.012411111034452915,6.459982978412881e-05,13.34774112701416,340.5599365234375,210000.0,0.30000001192092896,2,steel_rigid
case026,-3697.78955078125,195.61097717285156,536.718994140625,-19.131254196166992,49.963130950927734,3645.0283203125,3645.4208984375,1.1294862031936646,0.011294862255454063,5.878975571249612e-05,0.8409101366996765,110.95221710205078,210000.0,0.30000001192092896,2,steel_rigid
case027,-4138.0517578125,92.5673828125,497.4549865722656,62.946739196777344,366.413818359375,2441.149658203125,2469.298095703125,1.023630142211914,0.010236302390694618,5.3279953135643154e-05,8.659470558166504,80.25222778320312,70000.0,0.33000001311302185,0,aluminum_rigid
