case,key_file,panel_pid,impact_element_id,impact_x,impact_y,impact_z,ball_center_x,ball_center_y,ball_center_z,velocity_vx,velocity_vy,velocity_vz,impact_speed,mass_ratio,impactor_mass,impactor_density,theta_deg,phi_deg,material_index,material_name,material_young_mpa,material_poisson,min_boundary_distance_mm,lhs_u_x,lhs_u_y,lhs_u_v,lhs_u_m,lhs_u_theta,lhs_u_phi,lhs_u_material
case289,cases_trunkfloor_lhs_500\case289\case289.key,2000447,3284164,-3877.62100000,90.02844000,494.05575000,-3877.62094190,90.06070783,476.55577975,-0.01426018,-7.91967200,4295.11502224,4295.12232371,0.76827931,0.0076827931,3.9988938112E-05,0.10564653,269.89683321,1,titanium_rigid,110000.0,0.3400,81.80694937,0.6621800966,0.5901354333,0.7398955930,0.0365586210,0.0070431021,0.7497134256,0.5053041130
case290,cases_trunkfloor_lhs_500\case290\case290.key,2000447,3286068,-4126.66575000,-301.47612500,517.00360000,-4126.44584186,-301.56692723,499.50521735,-61.22530477,25.28052915,4871.77884111,4872.22913252,0.77134513,0.0077134513,4.0148514104E-05,0.77897578,157.56378925,2,steel_rigid,210000.0,0.3000,185.12007500,0.2994706340,0.1250581266,0.9064920564,0.0426902633,0.0519317186,0.4376771924,0.7069864381
case291,cases_trunkfloor_lhs_500\case291\case291.key,2000447,3281641,-4122.84600000,-90.47631750,501.30432500,-4122.86702670,-90.46131011,483.80434407,5.14969486,-3.67549154,4285.95804493,4285.96271466,1.21765791,0.0121765791,6.3379094362E-05,0.08457842,324.48341231,0,aluminum_rigid,70000.0,0.3300,88.52629221,0.3050337285,0.3757096667,0.7372514404,0.9353158256,0.0056385614,0.9013428120,0.3289577144
case292,cases_trunkfloor_lhs_500\case292\case292.key,2000447,2848478,-4020.30400000,-257.40480000,507.76832500,-4022.36837356,-260.63478759,490.69332743,555.55846072,869.24526108,4595.17577844,4709.55124847,0.82037888,0.0082037888,4.2700720928E-05,12.65310718,57.41623955,0,aluminum_rigid,70000.0,0.3300,145.80399215,0.4543761808,0.1774114705,0.8595309744,0.1407577686,0.8435404784,0.1594895543,0.2724655053
case293,cases_trunkfloor_lhs_500\case293\case293.key,2000447,3292689,-3736.69550000,-355.60992500,627.79985000,-3736.44233643,-353.64835443,610.41197638,-48.63943412,-376.86971827,3340.67156123,3362.21401150,0.75734124,0.0075734124,3.9419611354E-05,6.48940174,262.64596323,2,steel_rigid,210000.0,0.3000,87.11909827,0.8674243845,0.0607513364,0.4705880348,0.0146824728,0.4326267826,0.7295721201,0.8928361737
case294,cases_trunkfloor_lhs_500\case294\case294.key,2000447,2918258,-3762.61450000,-52.31140000,503.40537500,-3762.12358346,-50.90019345,485.96927747,-120.72193372,-347.03166292,4287.73373398,4303.44807496,0.92665970,0.0092665970,4.8232637559E-05,4.89789732,250.81874323,2,steel_rigid,210000.0,0.3000,149.45551035,0.8296758812,0.4210466529,0.7422990315,0.3533194067,0.3265264879,0.6967187312,0.9508915030
case295,cases_trunkfloor_lhs_500\case295\case295.key,2000447,3295256,-4264.30850000,-343.31207500,632.21227500,-4264.31770941,-343.45530651,614.71286358,2.28279196,35.50366136,4337.68498073,4337.83087651,0.94828920,0.0094828920,4.9358452755E-05,0.46991997,86.32109635,0,aluminum_rigid,70000.0,0.3300,110.42980697,0.0990073523,0.0753602362,0.7522244960,0.3965783960,0.0313279977,0.2397808232,0.2958144392
case296,cases_trunkfloor_lhs_500\case296\case296.key,2000447,3287461,-4316.32725000,224.67247500,554.48990000,-4315.74614419,222.01760584,537.20221693,-70.04477515,320.01007436,2083.80617675,2109.39823184,1.05144551,0.0105144551,5.4727738863E-05,8.93410368,102.34636114,1,titanium_rigid,110000.0,0.3400,82.44031246,0.0232471009,0.7500821894,0.1089311024,0.6028910226,0.5956069123,0.2842954476,0.5563518723
case297,cases_trunkfloor_lhs_500\case297\case297.key,2000447,3285382,-4142.52675000,109.72482500,499.65310000,-4141.56290902,107.34057585,482.34309230,-142.00342836,351.27324948,2550.29666768,2578.28837849,0.91587415,0.0091587415,4.7671249635E-05,8.45045917,112.01119190,0,aluminum_rigid,70000.0,0.3300,97.81271913,0.2763706297,0.6135332236,0.2442880917,0.3317483049,0.5633639446,0.3111421997,0.2289676577
case298,cases_trunkfloor_lhs_500\case298\case298.key,2000447,3286041,-4240.61200000,-219.56520000,518.81187500,-4238.11386505,-217.09993939,501.66743532,-557.76117111,-550.42128211,3827.85675196,3907.24307221,0.95336777,0.0095336777,4.9622792188E-05,11.56946639,224.62051510,0,aluminum_rigid,70000.0,0.3300,156.66313135,0.1335190004,0.2223620045,0.6279244457,0.4067355307,0.7712977597,0.6239458753,0.2586788152
case299,cases_trunkfloor_lhs_500\case299\case299.key,2000447,2993022,-3770.29075000,-203.47197500,505.66925000,-3769.99336349,-202.21853317,488.21673027,-55.37635020,-233.40343930,3249.83419723,3258.67550013,1.16876339,0.0116876339,6.0834134696E-05,4.22156469,256.65301975,2,steel_rigid,210000.0,0.3000,105.80777271,0.8184961695,0.2414795178,0.4406990272,0.8375267895,0.2814376460,0.7129250549,0.7033672292
case300,cases_trunkfloor_lhs_500\case300\case300.key,2000447,3295113,-3657.40175000,397.24017500,629.19445000,-3657.43666743,399.38578920,611.82651631,8.10558990,-498.07418424,4031.72174061,4062.37907971,0.81919642,0.0081919642,4.2639173536E-05,7.04349380,270.93234123,1,titanium_rigid,110000.0,0.3400,84.71372299,0.9829080212,0.9550793423,0.6727083744,0.1383928352,0.4695662532,0.7525898368,0.4906970027
case301,cases_trunkfloor_lhs_500\case301\case301.key,2000447,3283194,-3744.01050000,-94.50396250,500.04585000,-3745.36539507,-93.63734960,482.61991412,351.64267299,-224.91636623,4522.64003430,4541.86226356,1.19808781,0.0119808781,6.2360470355E-05,5.27321909,327.39635806,2,steel_rigid,210000.0,0.3000,157.98269729,0.8567707983,0.3709251343,0.8111233116,0.8961756140,0.3515479391,0.9094343279,0.8189572981
case302,cases_trunkfloor_lhs_500\case302\case302.key,2000447,3282838,-4001.35150000,-263.51917500,508.47885000,-4002.52478366,-262.20369478,491.06785011,150.94549244,-169.23938923,2239.96297370,2251.41303099,1.05262615,0.0105262615,5.4789191294E-05,5.78093522,311.72993697,2,steel_rigid,210000.0,0.3000,151.96543868,0.4819786542,0.1701480633,0.1499272628,0.6052523072,0.3853956811,0.8659164916,0.6766314173
case303,cases_trunkfloor_lhs_500\case303\case303.key,2000447,3286003,-4202.99900000,-208.24912500,517.22512500,-4202.02579873,-209.25100360,499.78095352,-180.68592084,186.01019351,3238.70948185,3249.07468395,1.08437768,0.0108437768,5.6441858484E-05,4.57785671,134.16814794,2,steel_rigid,210000.0,0.3000,192.02830728,0.1882986776,0.2358046311,0.4379275090,0.6687553692,0.3051904476,0.3726892998,0.6728520981
case304,cases_trunkfloor_lhs_500\case304\case304.key,2000447,3283590,-3758.13225000,115.63940000,498.19110000,-3757.49478634,116.95432536,480.75221783,-104.02780061,-214.58288885,2845.85408931,2855.82791798,0.94422868,0.0094422868,4.9147102648E-05,4.78992862,244.13632140,1,titanium_rigid,110000.0,0.3400,165.88245152,0.8362038425,0.6205592837,0.3244068930,0.3884573544,0.3193285747,0.6781564483,0.6107831117
case305,cases_trunkfloor_lhs_500\case305\case305.key,2000447,3295470,-4163.24450000,97.09693250,504.84497500,-4164.38544739,96.81097124,487.38454931,275.36510516,69.01611171,4214.03475187,4223.58592369,0.98728159,0.0098728159,5.1388006941E-05,3.85395970,14.07047681,1,titanium_rigid,110000.0,0.3400,80.46871221,0.2461972414,0.5985322587,0.7192448035,0.4745631870,0.2569306464,0.0390846578,0.4815379185
case306,cases_trunkfloor_lhs_500\case306\case306.key,2000447,3283876,-3855.15575000,217.21375000,506.55097500,-3856.68673485,215.35364814,489.21759372,353.36950889,429.33362867,4000.75051691,4039.20809974,1.14790764,0.0114790764,5.9748592831E-05,7.91271803,50.54339729,1,titanium_rigid,110000.0,0.3400,167.69151576,0.6948985488,0.7412217979,0.6660194855,0.7958152865,0.5275145356,0.1403983258,0.5597010118
case307,cases_trunkfloor_lhs_500\case307\case307.key,2000447,3289805,-4171.94250000,383.17132500,636.31937500,-4175.47524182,384.78895327,619.25616856,773.22234799,-354.05540339,3734.67782331,3830.28020803,0.80500132,0.0080500132,4.1900318673E-05,12.82815507,335.39714705,2,steel_rigid,210000.0,0.3000,130.24789573,0.2335294501,0.9383666307,0.6057071701,0.1100026387,0.8552103381,0.9316587418,0.7580774582
case308,cases_trunkfloor_lhs_500\case308\case308.key,2000447,3295505,-4113.45300000,80.88055500,494.66565000,-4112.44358173,78.05528266,477.42474193,-159.12719969,445.38293910,2717.89951255,2758.74340751,0.88505148,0.0088505148,4.6066929400E-05,9.87149277,109.66088193,1,titanium_rigid,110000.0,0.3400,85.55940599,0.3187137196,0.5792684496,0.2963809958,0.2701029548,0.6580995178,0.3046135609,0.4676762439
case309,cases_trunkfloor_lhs_500\case309\case309.key,2000447,3282842,-4013.58050000,-277.33850000,510.29590000,-4009.68383017,-277.34167123,493.23524485,-734.68648049,0.59791138,3216.65248514,3299.48750448,0.98563833,0.0098563833,5.1302474920E-05,12.86572256,179.95337087,1,titanium_rigid,110000.0,0.3400,165.47488415,0.4641683048,0.1537317683,0.4524804435,0.4712766540,0.8577148372,0.4998704746,0.5470022556
case310,cases_trunkfloor_lhs_500\case310\case310.key,2000447,3286732,-4200.32750000,-298.02540000,528.87602500,-4199.18098379,-300.68806089,511.61781717,-142.81437624,331.67106799,2149.74736000,2179.86590304,1.16131293,0.0116131293,6.0446338045E-05,9.53544653,113.29624722,0,aluminum_rigid,70000.0,0.3300,181.53757215,0.1921894576,0.1291573224,0.1292733764,0.8226258615,0.6356964353,0.3147117978,0.1207450277
case311,cases_trunkfloor_lhs_500\case311\case311.key,2000447,3286248,-3767.88550000,-280.06342500,542.34775000,-3771.07974268,-281.76788253,525.22637044,840.96665115,448.74234234,4507.64411335,4607.32569402,0.86154150,0.0086154150,4.4843235319E-05,11.94006714,28.08451549,0,aluminum_rigid,70000.0,0.3300,81.50173261,0.8219991822,0.1504947670,0.8300209850,0.2230830094,0.7960044762,0.0780125430,0.1987730257
case312,cases_trunkfloor_lhs_500\case312\case312.key,2000447,3291507,-3779.92075000,425.45655000,630.04345000,-3779.31741299,422.61564170,612.78612621,-119.38306575,562.13415463,3414.72871018,3462.74736132,1.24607892,0.0124607892,6.4858407831E-05,9.55290276,101.99002950,1,titanium_rigid,110000.0,0.3400,89.58746866,0.8044710108,0.9885982252,0.4996095267,0.9921578417,0.6368601838,0.2833056375,0.3792968166
