case,key_file,panel_pid,impact_element_id,impact_x,impact_y,impact_z,ball_center_x,ball_center_y,ball_center_z,velocity_vx,velocity_vy,velocity_vz,impact_speed,mass_ratio,impactor_mass,impactor_density,theta_deg,phi_deg,material_index,material_name,material_young_mpa,material_poisson,min_boundary_distance_mm,lhs_u_x,lhs_u_y,lhs_u_v,lhs_u_m,lhs_u_theta,lhs_u_phi,lhs_u_material
case028,cases_floorfrontdriver_lhs_100\case028\case028.key,2000394,3043963,-2717.53700000,586.44667500,303.70892500,-2719.84085550,586.94374527,286.36836068,492.39606709,-106.23732634,3706.14636262,3740.22206795,0.99035681,0.0099035681,5.1548072134E-05,7.74001209,347.82473330,2,steel_rigid,210000.0,0.3000,88.49587551,0.0072395729,0.9215173337,0.5797096123,0.4807136266,0.5160008061,0.9661798147,0.9549031474
case029,cases_floorfrontdriver_lhs_100\case029\case029.key,2000394,3045036,-2380.84900000,480.66505000,290.44275000,-2383.01782760,479.27331423,273.13352534,431.07004559,276.61746961,3440.33259269,3478.25055983,1.06406720,0.0106406720,5.5384697864E-05,8.46788690,32.68827255,1,titanium_rigid,110000.0,0.3400,169.75235519,0.3221082740,0.6549699748,0.5040849167,0.6281344040,0.5645257934,0.0908007571,0.3469738214
case030,cases_floorfrontdriver_lhs_100\case030\case030.key,2000394,2724440,-2018.81400000,461.05652500,288.77992500,-2016.87087711,458.04970386,271.65003008,-274.10861738,424.16029773,2416.44613912,2468.65539020,0.89467539,0.0089467539,4.6567854077E-05,11.80455215,122.87209124,1,titanium_rigid,110000.0,0.3400,218.12943681,0.6606813452,0.6055606322,0.2126397593,0.2893507811,0.7869701436,0.3413113646,0.3967317448
case031,cases_floorfrontdriver_lhs_100\case031\case031.key,2000394,3047253,-1968.18700000,419.78687500,295.85937500,-1971.24438302,423.07457116,278.94507741,359.41997827,-386.49514074,1988.41179832,2057.26582976,0.99734702,0.0099734702,5.1911912274E-05,14.86537554,312.92119540,1,titanium_rigid,110000.0,0.3400,222.10061748,0.7080274274,0.5015698285,0.0938817672,0.4946940355,0.9910250361,0.8692255428,0.6656822520
case032,cases_floorfrontdriver_lhs_100\case032\case032.key,2000394,3044681,-2612.99350000,482.09765000,298.85170000,-2617.21784675,480.97177910,281.90657359,503.39438334,134.16443300,2019.26639958,2085.38792380,1.14182281,0.0114182281,5.9431877296E-05,14.46671339,14.92354611,0,aluminum_rigid,70000.0,0.3300,81.45914091,0.1050080590,0.6585798243,0.1019999203,0.7836456214,0.9644475594,0.0414542948,0.2994657991
case033,cases_floorfrontdriver_lhs_100\case033\case033.key,2000394,2792788,-2461.55150000,381.03612500,293.63130000,-2458.83539358,382.54787025,276.40958719,-746.68210520,-415.59237884,4734.40388039,4810.90753333,1.22691215,0.0122691215,6.3860777595E-05,10.23157316,209.09967489,0,aluminum_rigid,70000.0,0.3300,180.00472042,0.2466357554,0.4039261208,0.8887900272,0.9538243072,0.6821048774,0.5808324302,0.1903911766
case034,cases_floorfrontdriver_lhs_100\case034\case034.key,2000394,2922754,-2180.91325000,254.43305000,314.43512500,-2180.18776828,257.37052227,297.19868300,-158.32531862,-641.05851162,3761.59052740,3819.10803953,1.05698390,0.0105698390,5.5016012083E-05,9.95642145,256.12700577,0,aluminum_rigid,70000.0,0.3300,96.16817095,0.5090870493,0.0849131045,0.6024820414,0.6139678034,0.6637614300,0.7114639049,0.2377196705
case035,cases_floorfrontdriver_lhs_100\case035\case035.key,2000394,3049222,-2701.96775000,300.77040000,320.88060000,-2703.00545175,297.29770644,303.76004001,132.25102838,442.58120699,2181.94838265,2230.30652687,1.04221391,0.0104221391,5.4247233960E-05,11.95303006,73.36293181,1,titanium_rigid,110000.0,0.3400,96.91595398,0.0217998469,0.2016734422,0.1438343370,0.5844278179,0.7968686709,0.2037859217,0.4572015083
case036,cases_floorfrontdriver_lhs_100\case036\case036.key,2000394,3046697,-2323.33600000,380.40332500,289.47835000,-2325.96198956,377.82653690,272.36945343,729.16454552,715.50266143,4750.66655392,4859.26513986,0.82042312,0.0082042312,4.2703023304E-05,12.13602830,44.45818320,0,aluminum_rigid,70000.0,0.3300,234.58180034,0.3758941042,0.4023315984,0.9027496723,0.1408462365,0.8090685535,0.1234949533,0.0411178588
case037,cases_floorfrontdriver_lhs_100\case037\case037.key,2000394,3047189,-1948.21825000,392.07000000,290.71642500,-1945.69371078,390.64863763,273.45790737,-626.79778316,352.89876901,4284.98020142,4344.93594069,0.86461797,0.0086461797,4.5003365523E-05,9.52932180,150.61968258,1,titanium_rigid,110000.0,0.3400,223.80551181,0.7267020887,0.4317291560,0.7542755523,0.2292359471,0.6352881197,0.4183880072,0.4370396327
